lr,batch_size,momentum,weight_decay,best_val_acc,train_losses,val_losses,train_accuracies,val_accuracies
0.001,16,0.9,0.0001,0.3076923076923077,"[1.7981019914150238, 1.7987261712551117, 1.7711053490638733, 1.7626879811286926, 1.7364657670259476, 1.746797889471054, 1.7445420026779175, 1.7262879312038422, 1.7123273760080338, 1.6985969096422195, 1.702618047595024, 1.6742747277021408, 1.6862656772136688, 1.6719568520784378, 1.6449001878499985, 1.6485318094491959, 1.6516437083482742, 1.670897588133812, 1.6275206953287125, 1.645598515868187, 1.6467399448156357]","[1.790575623512268, 1.7900710105895996, 1.7796954711278279, 1.7703127066294353, 1.765694220860799, 1.757792552312215, 1.7390140295028687, 1.7295879522959392, 1.7301632563273113, 1.716262420018514, 1.7146565516789753, 1.7116588354110718, 1.6894547541936238, 1.681703805923462, 1.6670730511347454, 1.6594178279240925, 1.67030135790507, 1.6890289783477783, 1.6496501366297405, 1.647209922472636, 1.6270053386688232]","[0.12903225806451613, 0.1532258064516129, 0.20161290322580644, 0.24193548387096775, 0.23387096774193547, 0.20161290322580644, 0.28225806451612906, 0.24193548387096775, 0.24193548387096775, 0.23387096774193547, 0.2661290322580645, 0.3064516129032258, 0.27419354838709675, 0.29838709677419356, 0.2661290322580645, 0.27419354838709675, 0.2661290322580645, 0.31451612903225806, 0.31451612903225806, 0.31451612903225806, 0.2903225806451613]","[0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.3076923076923077, 0.28205128205128205, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.3076923076923077]"
0.001,16,0.9,1e-05,0.3076923076923077,"[1.801451951265335, 1.7986841201782227, 1.7818484157323837, 1.785432830452919, 1.7520771026611328, 1.7660893648862839, 1.740288570523262, 1.7215153127908707, 1.7005044221878052, 1.7098631411790848, 1.7066832333803177, 1.710111603140831, 1.687053069472313, 1.6861772388219833, 1.6599775105714798, 1.6695131659507751]","[1.7919289271036785, 1.7884458700815837, 1.782974640528361, 1.776339848836263, 1.762859582901001, 1.7577165762583415, 1.7572264671325684, 1.7399400075276692, 1.7329859733581543, 1.7094047864278157, 1.6946705182393391, 1.7250522375106812, 1.70200248559316, 1.688671628634135, 1.7221394379933674, 1.6454766988754272]","[0.14516129032258066, 0.16129032258064516, 0.14516129032258066, 0.20967741935483872, 0.18548387096774194, 0.24193548387096775, 0.23387096774193547, 0.29838709677419356, 0.25806451612903225, 0.28225806451612906, 0.25806451612903225, 0.25, 0.2661290322580645, 0.2661290322580645, 0.24193548387096775, 0.27419354838709675]","[0.20512820512820512, 0.20512820512820512, 0.1794871794871795, 0.23076923076923078, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.001,16,0.95,0.0001,0.6410256410256411,"[1.8102440237998962, 1.7856726944446564, 1.7710753381252289, 1.7597547769546509, 1.7340118139982224, 1.7300495207309723, 1.6991516202688217, 1.6828318685293198, 1.6792358309030533, 1.6538030207157135, 1.6761431694030762, 1.6816938519477844, 1.6595297157764435, 1.6397024244070053, 1.611605480313301, 1.6169376224279404, 1.5913148820400238, 1.6050019413232803, 1.5502262711524963, 1.6031379252672195, 1.5522329658269882, 1.4969364255666733, 1.4965740144252777, 1.4553571194410324, 1.4366301596164703, 1.3861194401979446, 1.3540545552968979, 1.2688384503126144, 1.3221826553344727, 1.2489405274391174, 1.132267326116562, 1.1442985534667969, 1.0583624616265297, 1.008455939590931, 0.94314194470644, 1.0016474351286888, 1.012320414185524, 0.8580938428640366, 0.849731907248497, 0.9650247246026993, 0.7880461439490318, 0.7000281028449535, 0.8297584801912308, 0.7225384302437305, 0.7991581484675407, 0.7914093993604183, 0.7249470613896847, 0.6722600571811199, 0.7077789977192879, 0.5743725523352623, 0.5715816095471382, 0.638576652854681, 0.5864714309573174, 0.6759775727987289]","[1.7917944192886353, 1.784099857012431, 1.7734956343968709, 1.7544115781784058, 1.7457571029663086, 1.726625124613444, 1.7300286690394084, 1.687383492787679, 1.7134649753570557, 1.665603796641032, 1.6424578825632732, 1.6858060359954834, 1.6610809961954753, 1.6303197940190632, 1.6807450850804646, 1.6747597455978394, 1.632236123085022, 1.634800950686137, 1.6215842564900715, 1.6544206937154133, 1.6401420831680298, 1.5894771416982014, 1.5585345824559529, 1.5933676958084106, 1.5618200302124023, 1.649290959040324, 1.633257508277893, 1.5987812678019206, 1.514241059621175, 1.7829342285792034, 1.4785627126693726, 1.3458764553070068, 1.274630029996236, 1.0907684961954753, 1.356693148612976, 1.14581694205602, 1.1856404344240825, 1.0605177879333496, 1.2091045777002971, 1.769307057062785, 1.5515988667805989, 0.9722826679547628, 1.3588014046351116, 1.3584442933400471, 1.371957798798879, 1.3753093481063843, 1.2146954735120137, 1.2233187754948933, 1.2083856066068013, 1.6931777397791545, 1.6847322781880696, 1.8872278531392415, 1.4732330242792766, 1.133530467748642]","[0.12903225806451613, 0.18548387096774194, 0.20161290322580644, 0.22580645161290322, 0.25806451612903225, 0.2903225806451613, 0.2661290322580645, 0.25806451612903225, 0.24193548387096775, 0.27419354838709675, 0.3064516129032258, 0.3064516129032258, 0.23387096774193547, 0.3225806451612903, 0.33064516129032256, 0.3064516129032258, 0.33064516129032256, 0.31451612903225806, 0.3870967741935484, 0.31451612903225806, 0.3225806451612903, 0.3467741935483871, 0.4112903225806452, 0.3790322580645161, 0.4112903225806452, 0.4596774193548387, 0.4596774193548387, 0.4838709677419355, 0.4274193548387097, 0.5080645161290323, 0.5967741935483871, 0.5080645161290323, 0.5967741935483871, 0.6209677419354839, 0.6451612903225806, 0.5806451612903226, 0.6290322580645161, 0.6774193548387096, 0.6774193548387096, 0.6129032258064516, 0.6854838709677419, 0.7661290322580645, 0.6612903225806451, 0.717741935483871, 0.7338709677419355, 0.7741935483870968, 0.717741935483871, 0.7338709677419355, 0.7096774193548387, 0.8225806451612904, 0.8064516129032258, 0.7741935483870968, 0.7661290322580645, 0.7983870967741935]","[0.20512820512820512, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.28205128205128205, 0.28205128205128205, 0.358974358974359, 0.38461538461538464, 0.38461538461538464, 0.41025641025641024, 0.38461538461538464, 0.3333333333333333, 0.3333333333333333, 0.38461538461538464, 0.3333333333333333, 0.3333333333333333, 0.28205128205128205, 0.3076923076923077, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.41025641025641024, 0.46153846153846156, 0.48717948717948717, 0.5128205128205128, 0.38461538461538464, 0.5384615384615384, 0.5641025641025641, 0.6410256410256411, 0.5384615384615384, 0.4358974358974359, 0.48717948717948717, 0.5897435897435898, 0.5384615384615384, 0.5384615384615384, 0.5641025641025641, 0.5384615384615384, 0.5128205128205128, 0.5128205128205128, 0.5641025641025641, 0.5897435897435898, 0.5897435897435898, 0.5128205128205128, 0.5897435897435898, 0.6153846153846154]"
0.001,16,0.95,1e-05,0.6410256410256411,"[1.802125871181488, 1.7996228337287903, 1.7866913080215454, 1.7664205878973007, 1.7567349076271057, 1.7296506613492966, 1.7327508479356766, 1.7184164971113205, 1.7005862891674042, 1.688946321606636, 1.6709135472774506, 1.668770655989647, 1.6925946325063705, 1.651138111948967, 1.6607804894447327, 1.6341608315706253]","[1.7886504729588826, 1.7815557718276978, 1.7778852780659993, 1.7677758932113647, 1.7578086455663045, 1.7536487579345703, 1.7219611406326294, 1.7218348185221355, 1.7416321436564128, 1.7027463912963867, 1.6726029713948567, 1.6570622126261394, 1.6875207424163818, 1.654107968012492, 1.6541978518168132, 1.6282477776209514]","[0.16129032258064516, 0.14516129032258066, 0.20967741935483872, 0.28225806451612906, 0.22580645161290322, 0.27419354838709675, 0.25806451612903225, 0.25, 0.28225806451612906, 0.2661290322580645, 0.25806451612903225, 0.2661290322580645, 0.25806451612903225, 0.24193548387096775, 0.2661290322580645, 0.24193548387096775]","[0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.001,32,0.9,0.0001,0.6410256410256411,"[1.8051705658435822, 1.79441300034523, 1.8125198185443878, 1.7798393070697784, 1.770793616771698, 1.7724235951900482, 1.7699335217475891, 1.7561154961585999, 1.748519629240036, 1.7375514507293701, 1.7432559132575989, 1.7348697483539581, 1.739911824464798, 1.7325904369354248, 1.7180938720703125, 1.708180010318756]","[1.7806950211524963, 1.7875946164131165, 1.794058382511139, 1.7825270295143127, 1.7692814469337463, 1.7690984010696411, 1.776967167854309, 1.7641403079032898, 1.7545896172523499, 1.7400959730148315, 1.7459375262260437, 1.7562018036842346, 1.7227265238761902, 1.73725163936615, 1.7312437295913696, 1.7274187803268433]","[0.13709677419354838, 0.18548387096774194, 0.08870967741935484, 0.18548387096774194, 0.1774193548387097, 0.18548387096774194, 0.20967741935483872, 0.22580645161290322, 0.21774193548387097, 0.2661290322580645, 0.28225806451612906, 0.25, 0.23387096774193547, 0.25, 0.22580645161290322, 0.27419354838709675]","[0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.1794871794871795, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.001,32,0.9,1e-05,0.6410256410256411,"[1.7980876863002777, 1.8046693801879883, 1.790972501039505, 1.792603760957718, 1.7860369980335236, 1.7588943839073181, 1.749280959367752, 1.763313204050064, 1.74923774600029, 1.7423591017723083, 1.7333748638629913, 1.7181196808815002, 1.7378036677837372, 1.7275915145874023, 1.7197158336639404, 1.7102430760860443]","[1.7853088974952698, 1.7958372831344604, 1.7748019099235535, 1.7851532101631165, 1.80689537525177, 1.7661423683166504, 1.7667967081069946, 1.7553157806396484, 1.783468782901764, 1.7658926248550415, 1.7507367134094238, 1.7723475098609924, 1.7482212781906128, 1.7499006390571594, 1.7323561906814575, 1.7434648871421814]","[0.20161290322580644, 0.20161290322580644, 0.16129032258064516, 0.1935483870967742, 0.20967741935483872, 0.2903225806451613, 0.24193548387096775, 0.20967741935483872, 0.23387096774193547, 0.22580645161290322, 0.24193548387096775, 0.2903225806451613, 0.23387096774193547, 0.2661290322580645, 0.23387096774193547, 0.27419354838709675]","[0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.001,32,0.95,0.0001,0.6410256410256411,"[1.797210931777954, 1.7739929556846619, 1.773694008588791, 1.7772683203220367, 1.7609893083572388, 1.7570126950740814, 1.7430996894836426, 1.7373475134372711, 1.744204044342041, 1.7259922921657562, 1.7279212474822998, 1.702416867017746, 1.7050007581710815, 1.7064261436462402, 1.6796264946460724, 1.6846375167369843]","[1.791324257850647, 1.7832270860671997, 1.7772335410118103, 1.7844955325126648, 1.7786718010902405, 1.7700743675231934, 1.7688370943069458, 1.7526305317878723, 1.7558645009994507, 1.7462100982666016, 1.7316340804100037, 1.7433409690856934, 1.7284846901893616, 1.7062509059906006, 1.7113385796546936, 1.699225127696991]","[0.1532258064516129, 0.22580645161290322, 0.21774193548387097, 0.1774193548387097, 0.25, 0.25806451612903225, 0.23387096774193547, 0.3064516129032258, 0.2661290322580645, 0.27419354838709675, 0.2661290322580645, 0.2661290322580645, 0.24193548387096775, 0.24193548387096775, 0.28225806451612906, 0.25806451612903225]","[0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.001,32,0.95,1e-05,0.6410256410256411,"[1.809473693370819, 1.8050048649311066, 1.7917818129062653, 1.797631323337555, 1.785268247127533, 1.7639301419258118, 1.7563275396823883, 1.7491965293884277, 1.7405014038085938, 1.7368689477443695, 1.7266345620155334, 1.7199255228042603, 1.7297239303588867, 1.714803695678711, 1.7037798464298248, 1.696553647518158]","[1.7906174659729004, 1.7917841076850891, 1.788408875465393, 1.7927155494689941, 1.7832632660865784, 1.7733306884765625, 1.774899959564209, 1.770717203617096, 1.7447487711906433, 1.7616052031517029, 1.7361982464790344, 1.7357765436172485, 1.7534698843955994, 1.7247503995895386, 1.676990807056427, 1.6830672025680542]","[0.14516129032258066, 0.14516129032258066, 0.20161290322580644, 0.1774193548387097, 0.20161290322580644, 0.24193548387096775, 0.23387096774193547, 0.2903225806451613, 0.2661290322580645, 0.23387096774193547, 0.25, 0.25806451612903225, 0.25, 0.25, 0.25, 0.24193548387096775]","[0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.28205128205128205, 0.28205128205128205, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.001,64,0.9,0.0001,0.6410256410256411,"[1.7873883247375488, 1.7877253293991089, 1.7857491970062256, 1.7871592044830322, 1.793379306793213, 1.7981392741203308, 1.7834285497665405, 1.776805818080902, 1.7817055583000183, 1.7713671922683716, 1.7657769322395325, 1.7736931443214417, 1.771502673625946, 1.7639010548591614, 1.7597418427467346, 1.7684765458106995]","[1.7909680604934692, 1.7904986143112183, 1.7897690534591675, 1.788822054862976, 1.7877999544143677, 1.7867532968521118, 1.7857452630996704, 1.7845523357391357, 1.783150553703308, 1.7816277742385864, 1.7799923419952393, 1.778989315032959, 1.7772475481033325, 1.7754342555999756, 1.7739031314849854, 1.7718807458877563]","[0.1935483870967742, 0.1774193548387097, 0.16129032258064516, 0.1532258064516129, 0.14516129032258066, 0.12096774193548387, 0.1774193548387097, 0.20161290322580644, 0.1935483870967742, 0.24193548387096775, 0.18548387096774194, 0.20967741935483872, 0.20967741935483872, 0.20161290322580644, 0.16129032258064516, 0.25806451612903225]","[0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1794871794871795, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.001,64,0.9,1e-05,0.6410256410256411,"[1.8149537444114685, 1.8157089352607727, 1.8071590662002563, 1.8079071044921875, 1.8155154585838318, 1.8022360801696777, 1.8016088604927063, 1.7961153984069824, 1.7960336208343506, 1.7976593375205994, 1.7996677160263062, 1.787235677242279, 1.7857016324996948, 1.7742027044296265, 1.7693069577217102, 1.7955738306045532]","[1.7993353605270386, 1.7993383407592773, 1.798850178718567, 1.79816734790802, 1.797184705734253, 1.7960784435272217, 1.794817566871643, 1.793355941772461, 1.7920403480529785, 1.7906900644302368, 1.788915753364563, 1.7877472639083862, 1.7866116762161255, 1.7852215766906738, 1.78380286693573, 1.7821941375732422]","[0.12903225806451613, 0.1532258064516129, 0.0967741935483871, 0.13709677419354838, 0.1693548387096774, 0.1693548387096774, 0.1935483870967742, 0.16129032258064516, 0.1935483870967742, 0.1532258064516129, 0.1693548387096774, 0.18548387096774194, 0.20161290322580644, 0.18548387096774194, 0.23387096774193547, 0.16129032258064516]","[0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.1282051282051282, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512, 0.20512820512820512]"
0.001,64,0.95,0.0001,0.6410256410256411,"[1.8044505715370178, 1.8043188452720642, 1.7982808351516724, 1.7819105982780457, 1.7860091924667358, 1.793092668056488, 1.7828121185302734, 1.7743621468544006, 1.7708288431167603, 1.779591679573059, 1.7795706391334534, 1.7569433450698853, 1.776375651359558, 1.7569512724876404, 1.7613731026649475, 1.7440675497055054]","[1.7959777116775513, 1.7954866886138916, 1.7949079275131226, 1.7942099571228027, 1.7933779954910278, 1.7921500205993652, 1.7909966707229614, 1.7894872426986694, 1.7877554893493652, 1.7854105234146118, 1.7833606004714966, 1.781103253364563, 1.7781710624694824, 1.7754992246627808, 1.772199034690857, 1.7684699296951294]","[0.12096774193548387, 0.0967741935483871, 0.16129032258064516, 0.23387096774193547, 0.2661290322580645, 0.16129032258064516, 0.24193548387096775, 0.20161290322580644, 0.21774193548387097, 0.2661290322580645, 0.1935483870967742, 0.21774193548387097, 0.18548387096774194, 0.25806451612903225, 0.25, 0.27419354838709675]","[0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.001,64,0.95,1e-05,0.6410256410256411,"[1.7823137044906616, 1.776084542274475, 1.7764627933502197, 1.7964454889297485, 1.7967426180839539, 1.7734903693199158, 1.7722222805023193, 1.7772274613380432, 1.7714758515357971, 1.76571524143219, 1.7629641890525818, 1.740415334701538, 1.741544485092163, 1.7405471205711365, 1.739739716053009, 1.7362678050994873]","[1.7948269844055176, 1.7947598695755005, 1.794475793838501, 1.7937170267105103, 1.792684555053711, 1.7913235425949097, 1.7897260189056396, 1.7880520820617676, 1.7857376337051392, 1.7836593389511108, 1.7812756299972534, 1.778830647468567, 1.7763429880142212, 1.772652506828308, 1.7698910236358643, 1.7665972709655762]","[0.25806451612903225, 0.22580645161290322, 0.18548387096774194, 0.20161290322580644, 0.1693548387096774, 0.16129032258064516, 0.22580645161290322, 0.1532258064516129, 0.27419354838709675, 0.22580645161290322, 0.25, 0.2661290322580645, 0.24193548387096775, 0.21774193548387097, 0.20967741935483872, 0.24193548387096775]","[0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.1282051282051282, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564]"
0.01,16,0.9,0.0001,0.6410256410256411,"[1.796054631471634, 1.7398668080568314, 1.711098924279213, 1.6803959012031555, 1.7347610294818878, 1.6822572201490402, 1.658975049853325, 1.6253997832536697, 1.5721298903226852, 1.5418289452791214, 1.508050873875618, 1.4877315908670425, 1.4406323283910751, 1.475539281964302, 1.3385505378246307, 1.4783715903759003]","[1.7867016792297363, 1.7265380223592122, 1.6881449619928997, 1.6601123015085857, 1.6595972379048665, 1.6199311017990112, 1.6354387601216633, 1.6370819807052612, 1.7991319100062053, 1.6069702704747517, 1.56443190574646, 2.324669679005941, 1.6518580913543701, 1.5637844403584797, 1.4843822320302327, 1.502225359280904]","[0.08870967741935484, 0.21774193548387097, 0.21774193548387097, 0.3064516129032258, 0.25, 0.29838709677419356, 0.27419354838709675, 0.3387096774193548, 0.3709677419354839, 0.3064516129032258, 0.3709677419354839, 0.4112903225806452, 0.3790322580645161, 0.4032258064516129, 0.45161290322580644, 0.4274193548387097]","[0.1794871794871795, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.1794871794871795, 0.358974358974359, 0.3333333333333333, 0.1794871794871795, 0.20512820512820512, 0.28205128205128205, 0.28205128205128205, 0.23076923076923078, 0.41025641025641024, 0.4358974358974359, 0.28205128205128205, 0.4358974358974359]"
0.01,16,0.9,1e-05,0.6410256410256411,"[1.793582260608673, 1.746056467294693, 1.7120780646800995, 1.717783585190773, 1.6287385374307632, 1.6796292215585709, 1.689855471253395, 1.6665779501199722, 1.666807547211647, 1.533116728067398, 1.5478393584489822, 1.4803743064403534, 1.538874864578247, 1.4318945705890656, 1.3511577248573303, 1.3697583973407745]","[1.7820606231689453, 1.737740198771159, 1.6899062792460124, 1.679588794708252, 1.646870533625285, 1.6744290192921956, 1.6226355234781902, 1.6067866484324138, 1.5722798506418865, 1.6046035289764404, 1.5370187362035115, 1.4702317317326863, 1.8234893083572388, 1.3572945594787598, 2.2162360350290933, 1.3408639430999756]","[0.1693548387096774, 0.20967741935483872, 0.25, 0.27419354838709675, 0.24193548387096775, 0.2661290322580645, 0.2661290322580645, 0.3225806451612903, 0.27419354838709675, 0.28225806451612906, 0.33064516129032256, 0.3387096774193548, 0.3709677419354839, 0.3548387096774194, 0.4596774193548387, 0.49193548387096775]","[0.20512820512820512, 0.2564102564102564, 0.2564102564102564, 0.2564102564102564, 0.28205128205128205, 0.3333333333333333, 0.28205128205128205, 0.358974358974359, 0.3076923076923077, 0.28205128205128205, 0.28205128205128205, 0.41025641025641024, 0.28205128205128205, 0.46153846153846156, 0.28205128205128205, 0.4358974358974359]"
0.01,16,0.95,0.0001,0.6410256410256411,"[1.7540011554956436, 1.7280299216508865, 1.7406096756458282, 1.7281635999679565, 1.9047768115997314, 1.7033245712518692, 1.7408899664878845, 1.7359322607517242, 1.7478079795837402, 1.6465375423431396, 1.7078085839748383, 1.6082736253738403, 1.5123947858810425, 1.5590735226869583, 1.5974000990390778, 1.6710554659366608]","[1.7739607493082683, 1.734544277191162, 1.6620604991912842, 1.7235508759816487, 1.6681289672851562, 1.7326323588689168, 1.6865311066309612, 1.6870698531468709, 1.6473267078399658, 1.6638799905776978, 1.5723286469777424, 1.6067150036493938, 1.751551667849223, 1.8150370915730794, 1.7719452381134033, 1.7914005120595295]","[0.24193548387096775, 0.25, 0.20161290322580644, 0.24193548387096775, 0.18548387096774194, 0.24193548387096775, 0.23387096774193547, 0.33064516129032256, 0.2661290322580645, 0.3467741935483871, 0.33064516129032256, 0.33064516129032256, 0.3387096774193548, 0.3387096774193548, 0.33064516129032256, 0.2661290322580645]","[0.20512820512820512, 0.2564102564102564, 0.2564102564102564, 0.1794871794871795, 0.3076923076923077, 0.3333333333333333, 0.28205128205128205, 0.3076923076923077, 0.20512820512820512, 0.3333333333333333, 0.38461538461538464, 0.3076923076923077, 0.358974358974359, 0.41025641025641024, 0.28205128205128205, 0.23076923076923078]"
